"Upper Level"	"Lower Level"	"Photon Frequency"	"Einstein Rate"
2	1	115271201800	7.20E-008
3	2	230538000000	6.91E-007
4	3	345795989900	2.50E-006
5	4	461040768200	6.13E-006
6	5	576267930500	1.22E-005
7	6	691473076300	2.14E-005
8	7	806651806000	3.42E-005
9	8	921799700000	5.13E-005
10	9	1036912393000	7.33E-005
11	10	1151985452000	1.01E-004
12	11	1267014486000	1.34E-004
13	12	1381995105000	1.74E-004
14	13	1496922909000	2.20E-004
15	14	1611793518000	2.74E-004
16	15	1726602505700	3.35E-004
17	16	1841345506000	4.05E-004
18	17	1956018139000	4.83E-004
19	18	2070615993000	5.70E-004
20	19	2185134680000	6.65E-004
21	20	2299569842000	7.70E-004
