		200	300	600	1000	1500	2000
50	49	1.08E-011	3.33E-011	5.51E-011	7.45E-011	9.06E-011	1.02E-010
50	48	1.52E-011	4.13E-011	7.10E-011	9.91E-011	1.23E-010	1.40E-010
50	47	5.45E-012	1.99E-011	3.60E-011	5.08E-011	6.27E-011	7.04E-011
50	46	3.77E-012	1.03E-011	1.91E-011	2.94E-011	3.95E-011	4.70E-011
50	45	2.41E-012	1.02E-011	2.06E-011	3.13E-011	4.05E-011	4.66E-011
50	44	1.01E-012	4.30E-012	8.76E-012	1.38E-011	1.91E-011	2.33E-011
50	43	7.18E-013	4.30E-012	9.92E-012	1.69E-011	2.34E-011	2.80E-011
50	42	3.67E-013	2.28E-012	5.59E-012	9.13E-012	1.26E-011	1.52E-011
50	41	1.97E-013	1.76E-012	4.96E-012	8.89E-012	1.30E-011	1.61E-011
50	40	1.04E-013	1.05E-012	3.39E-012	6.18E-012	8.77E-012	1.06E-011
50	39	5.28E-014	7.28E-013	2.59E-012	5.09E-012	7.72E-012	9.76E-012
50	38	2.66E-014	4.56E-013	1.97E-012	4.12E-012	6.22E-012	7.60E-012
50	37	1.25E-014	2.96E-013	1.38E-012	3.04E-012	4.78E-012	6.09E-012
50	36	4.99E-015	1.80E-013	1.03E-012	2.49E-012	4.04E-012	5.09E-012
50	35	0.00E+000	1.04E-013	6.57E-013	1.66E-012	2.77E-012	3.61E-012
50	34	0.00E+000	6.00E-014	4.76E-013	1.35E-012	2.42E-012	3.20E-012
50	33	0.00E+000	3.10E-014	2.92E-013	8.77E-013	1.60E-012	2.16E-012
50	32	0.00E+000	2.04E-014	2.27E-013	7.64E-013	1.49E-012	2.02E-012
50	31	0.00E+000	1.13E-014	1.32E-013	4.52E-013	8.68E-013	1.18E-012
50	30	0.00E+000	1.06E-014	1.11E-013	3.98E-013	8.02E-013	1.04E-012
49	48	1.12E-011	3.41E-011	5.60E-011	7.54E-011	9.14E-011	1.02E-010
49	47	1.57E-011	4.22E-011	7.21E-011	1.00E-010	1.24E-010	1.41E-010
49	46	5.63E-012	2.04E-011	3.66E-011	5.14E-011	6.33E-011	7.08E-011
49	45	3.90E-012	1.05E-011	1.94E-011	2.97E-011	3.98E-011	4.73E-011
49	44	2.48E-012	1.04E-011	2.09E-011	3.17E-011	4.08E-011	4.69E-011
49	43	1.04E-012	4.39E-012	8.89E-012	1.39E-011	1.93E-011	2.34E-011
49	42	7.41E-013	4.39E-012	1.01E-011	1.71E-011	2.36E-011	2.81E-011
49	41	3.79E-013	2.33E-012	5.67E-012	9.22E-012	1.27E-011	1.53E-011
49	40	2.03E-013	1.80E-012	5.03E-012	8.98E-012	1.31E-011	1.62E-011
49	39	1.07E-013	1.07E-012	3.44E-012	6.24E-012	8.82E-012	1.06E-011
49	38	5.44E-014	7.44E-013	2.62E-012	5.13E-012	7.77E-012	9.81E-012
49	37	2.74E-014	4.66E-013	1.99E-012	4.16E-012	6.26E-012	7.63E-012
49	36	1.29E-014	3.02E-013	1.40E-012	3.07E-012	4.81E-012	6.11E-012
49	35	5.14E-015	1.84E-013	1.04E-012	2.51E-012	4.06E-012	5.10E-012
49	34	0.00E+000	1.06E-013	6.65E-013	1.67E-012	2.78E-012	3.62E-012
49	33	0.00E+000	6.12E-014	4.81E-013	1.36E-012	2.43E-012	3.20E-012
49	32	0.00E+000	3.16E-014	2.95E-013	8.83E-013	1.60E-012	2.16E-012
49	31	0.00E+000	2.08E-014	2.29E-013	7.68E-013	1.50E-012	2.02E-012
49	30	0.00E+000	1.15E-014	1.34E-013	4.54E-013	8.70E-013	1.18E-012
49	29	0.00E+000	1.08E-014	1.12E-013	4.00E-013	8.04E-013	1.04E-012
48	47	1.16E-011	3.49E-011	5.69E-011	7.62E-011	9.22E-011	1.03E-010
48	46	1.62E-011	4.32E-011	7.33E-011	1.01E-010	1.25E-010	1.42E-010
48	45	5.82E-012	2.08E-011	3.72E-011	5.19E-011	6.38E-011	7.13E-011
48	44	4.03E-012	1.08E-011	1.97E-011	3.00E-011	4.01E-011	4.76E-011
48	43	2.57E-012	1.06E-011	2.12E-011	3.20E-011	4.11E-011	4.72E-011
48	42	1.08E-012	4.49E-012	9.03E-012	1.41E-011	1.94E-011	2.36E-011
48	41	7.65E-013	4.49E-012	1.02E-011	1.73E-011	2.37E-011	2.83E-011
48	40	3.91E-013	2.38E-012	5.76E-012	9.31E-012	1.28E-011	1.53E-011
48	39	2.09E-013	1.84E-012	5.11E-012	9.07E-012	1.31E-011	1.63E-011
48	38	1.10E-013	1.10E-012	3.49E-012	6.30E-012	8.88E-012	1.07E-011
48	37	5.61E-014	7.59E-013	2.66E-012	5.18E-012	7.81E-012	9.84E-012
48	36	2.82E-014	4.76E-013	2.02E-012	4.20E-012	6.29E-012	7.66E-012
48	35	1.33E-014	3.08E-013	1.41E-012	3.09E-012	4.83E-012	6.13E-012
48	34	5.29E-015	1.87E-013	1.05E-012	2.53E-012	4.08E-012	5.12E-012
48	33	0.00E+000	1.08E-013	6.73E-013	1.68E-012	2.79E-012	3.63E-012
48	32	0.00E+000	6.23E-014	4.87E-013	1.37E-012	2.44E-012	3.21E-012
48	31	0.00E+000	3.22E-014	2.99E-013	8.88E-013	1.61E-012	2.16E-012
48	30	0.00E+000	2.12E-014	2.32E-013	7.73E-013	1.50E-012	2.03E-012
48	29	0.00E+000	1.17E-014	1.35E-013	4.57E-013	8.72E-013	1.19E-012
48	28	0.00E+000	1.10E-014	1.13E-013	4.02E-013	8.05E-013	1.04E-012
47	46	1.20E-011	3.58E-011	5.78E-011	7.71E-011	9.30E-011	1.04E-010
47	45	1.67E-011	4.43E-011	7.45E-011	1.03E-010	1.26E-010	1.43E-010
47	44	6.02E-012	2.13E-011	3.78E-011	5.25E-011	6.43E-011	7.17E-011
47	43	4.16E-012	1.10E-011	2.00E-011	3.03E-011	4.04E-011	4.79E-011
47	42	2.65E-012	1.09E-011	2.16E-011	3.24E-011	4.14E-011	4.74E-011
47	41	1.11E-012	4.60E-012	9.17E-012	1.42E-011	1.96E-011	2.37E-011
47	40	7.90E-013	4.59E-012	1.04E-011	1.75E-011	2.39E-011	2.84E-011
47	39	4.03E-013	2.44E-012	5.84E-012	9.40E-012	1.29E-011	1.54E-011
47	38	2.16E-013	1.88E-012	5.18E-012	9.15E-012	1.32E-011	1.63E-011
47	37	1.14E-013	1.12E-012	3.53E-012	6.35E-012	8.93E-012	1.07E-011
47	36	5.79E-014	7.75E-013	2.69E-012	5.23E-012	7.86E-012	9.88E-012
47	35	2.91E-014	4.85E-013	2.05E-012	4.23E-012	6.32E-012	7.69E-012
47	34	1.37E-014	3.15E-013	1.43E-012	3.12E-012	4.85E-012	6.15E-012
47	33	5.45E-015	1.91E-013	1.07E-012	2.55E-012	4.09E-012	5.13E-012
47	32	0.00E+000	1.10E-013	6.81E-013	1.70E-012	2.80E-012	3.64E-012
47	31	0.00E+000	6.35E-014	4.93E-013	1.38E-012	2.45E-012	3.21E-012
47	30	0.00E+000	3.28E-014	3.02E-013	8.94E-013	1.61E-012	2.16E-012
47	29	0.00E+000	2.15E-014	2.34E-013	7.77E-013	1.50E-012	2.03E-012
47	28	0.00E+000	1.19E-014	1.36E-013	4.59E-013	8.73E-013	1.18E-012
47	27	0.00E+000	1.12E-014	1.14E-013	4.04E-013	8.06E-013	1.04E-012
46	45	1.24E-011	3.66E-011	5.88E-011	7.80E-011	9.38E-011	1.04E-010
46	44	1.73E-011	4.53E-011	7.57E-011	1.04E-010	1.27E-010	1.44E-010
46	43	6.22E-012	2.18E-011	3.84E-011	5.31E-011	6.48E-011	7.22E-011
46	42	4.30E-012	1.13E-011	2.03E-011	3.07E-011	4.08E-011	4.82E-011
46	41	2.74E-012	1.11E-011	2.19E-011	3.27E-011	4.18E-011	4.77E-011
46	40	1.15E-012	4.70E-012	9.31E-012	1.44E-011	1.97E-011	2.38E-011
46	39	8.16E-013	4.70E-012	1.05E-011	1.76E-011	2.41E-011	2.86E-011
46	38	4.17E-013	2.49E-012	5.93E-012	9.50E-012	1.29E-011	1.55E-011
46	37	2.23E-013	1.92E-012	5.25E-012	9.24E-012	1.33E-011	1.64E-011
46	36	1.17E-013	1.14E-012	3.58E-012	6.41E-012	8.98E-012	1.08E-011
46	35	5.97E-014	7.92E-013	2.73E-012	5.27E-012	7.90E-012	9.92E-012
46	34	3.00E-014	4.95E-013	2.07E-012	4.27E-012	6.35E-012	7.71E-012
46	33	1.41E-014	3.21E-013	1.45E-012	3.14E-012	4.88E-012	6.16E-012
46	32	5.62E-015	1.95E-013	1.08E-012	2.56E-012	4.11E-012	5.14E-012
46	31	0.00E+000	1.13E-013	6.89E-013	1.71E-012	2.81E-012	3.65E-012
46	30	0.00E+000	6.47E-014	4.98E-013	1.39E-012	2.46E-012	3.22E-012
46	29	0.00E+000	3.33E-014	3.05E-013	8.99E-013	1.62E-012	2.17E-012
46	28	0.00E+000	2.19E-014	2.37E-013	7.81E-013	1.51E-012	2.03E-012
46	27	0.00E+000	1.21E-014	1.37E-013	4.61E-013	8.74E-013	1.18E-012
46	26	0.00E+000	1.13E-014	1.15E-013	4.05E-013	8.06E-013	1.04E-012
45	44	1.28E-011	3.75E-011	5.98E-011	7.89E-011	9.45E-011	1.05E-010
45	43	1.79E-011	4.64E-011	7.69E-011	1.05E-010	1.28E-010	1.44E-010
45	42	6.44E-012	2.24E-011	3.90E-011	5.37E-011	6.53E-011	7.26E-011
45	41	4.45E-012	1.15E-011	2.06E-011	3.10E-011	4.11E-011	4.85E-011
45	40	2.83E-012	1.14E-011	2.22E-011	3.31E-011	4.21E-011	4.80E-011
45	39	1.19E-012	4.81E-012	9.45E-012	1.45E-011	1.98E-011	2.39E-011
45	38	8.43E-013	4.80E-012	1.07E-011	1.78E-011	2.42E-011	2.87E-011
45	37	4.30E-013	2.55E-012	6.01E-012	9.58E-012	1.30E-011	1.56E-011
45	36	2.30E-013	1.96E-012	5.33E-012	9.32E-012	1.34E-011	1.65E-011
45	35	1.21E-013	1.17E-012	3.63E-012	6.46E-012	9.03E-012	1.08E-011
45	34	6.16E-014	8.08E-013	2.77E-012	5.31E-012	7.94E-012	9.95E-012
45	33	3.09E-014	5.06E-013	2.10E-012	4.30E-012	6.38E-012	7.73E-012
45	32	1.46E-014	3.27E-013	1.47E-012	3.16E-012	4.90E-012	6.18E-012
45	31	5.79E-015	1.99E-013	1.09E-012	2.58E-012	4.13E-012	5.15E-012
45	30	0.00E+000	1.15E-013	6.96E-013	1.72E-012	2.82E-012	3.65E-012
45	29	0.00E+000	6.59E-014	5.03E-013	1.40E-012	2.46E-012	3.22E-012
45	28	0.00E+000	3.39E-014	3.08E-013	9.03E-013	1.62E-012	2.17E-012
45	27	0.00E+000	2.23E-014	2.39E-013	7.84E-013	1.51E-012	2.03E-012
45	26	0.00E+000	1.23E-014	1.39E-013	4.62E-013	8.75E-013	1.18E-012
45	25	0.00E+000	1.15E-014	1.16E-013	4.06E-013	8.06E-013	1.04E-012
44	43	1.33E-011	3.84E-011	6.07E-011	7.98E-011	9.53E-011	1.06E-010
44	42	1.86E-011	4.75E-011	7.82E-011	1.06E-010	1.29E-010	1.45E-010
44	41	6.66E-012	2.29E-011	3.96E-011	5.43E-011	6.58E-011	7.30E-011
44	40	4.60E-012	1.18E-011	2.09E-011	3.13E-011	4.14E-011	4.87E-011
44	39	2.93E-012	1.16E-011	2.26E-011	3.34E-011	4.23E-011	4.82E-011
44	38	1.23E-012	4.92E-012	9.59E-012	1.47E-011	2.00E-011	2.40E-011
44	37	8.72E-013	4.91E-012	1.08E-011	1.80E-011	2.44E-011	2.88E-011
44	36	4.45E-013	2.60E-012	6.10E-012	9.67E-012	1.31E-011	1.56E-011
44	35	2.38E-013	2.00E-012	5.40E-012	9.40E-012	1.35E-011	1.65E-011
44	34	1.25E-013	1.19E-012	3.68E-012	6.52E-012	9.08E-012	1.08E-011
44	33	6.36E-014	8.25E-013	2.80E-012	5.36E-012	7.98E-012	9.98E-012
44	32	3.19E-014	5.16E-013	2.12E-012	4.33E-012	6.41E-012	7.75E-012
44	31	1.50E-014	3.34E-013	1.48E-012	3.18E-012	4.91E-012	6.19E-012
44	30	5.97E-015	2.02E-013	1.11E-012	2.60E-012	4.14E-012	5.16E-012
44	29	0.00E+000	1.17E-013	7.04E-013	1.73E-012	2.83E-012	3.65E-012
44	28	0.00E+000	6.71E-014	5.09E-013	1.40E-012	2.47E-012	3.22E-012
44	27	0.00E+000	3.45E-014	3.11E-013	9.07E-013	1.62E-012	2.17E-012
44	26	0.00E+000	2.26E-014	2.41E-013	7.87E-013	1.51E-012	2.02E-012
44	25	0.00E+000	1.25E-014	1.40E-013	4.64E-013	8.75E-013	1.18E-012
44	24	0.00E+000	1.17E-014	1.17E-013	4.07E-013	8.05E-013	1.03E-012
43	42	1.38E-011	3.94E-011	6.17E-011	8.07E-011	9.61E-011	1.06E-010
43	41	1.92E-011	4.87E-011	7.94E-011	1.07E-010	1.30E-010	1.46E-010
43	40	6.90E-012	2.34E-011	4.02E-011	5.48E-011	6.63E-011	7.34E-011
43	39	4.77E-012	1.21E-011	2.13E-011	3.16E-011	4.17E-011	4.90E-011
43	38	3.03E-012	1.19E-011	2.29E-011	3.37E-011	4.26E-011	4.85E-011
43	37	1.27E-012	5.03E-012	9.73E-012	1.48E-011	2.01E-011	2.42E-011
43	36	9.01E-013	5.02E-012	1.10E-011	1.81E-011	2.45E-011	2.90E-011
43	35	4.60E-013	2.66E-012	6.18E-012	9.76E-012	1.32E-011	1.57E-011
43	34	2.46E-013	2.05E-012	5.47E-012	9.48E-012	1.35E-011	1.66E-011
43	33	1.29E-013	1.22E-012	3.73E-012	6.57E-012	9.13E-012	1.09E-011
43	32	6.56E-014	8.42E-013	2.84E-012	5.40E-012	8.01E-012	1.00E-011
43	31	3.29E-014	5.26E-013	2.15E-012	4.36E-012	6.44E-012	7.77E-012
43	30	1.55E-014	3.40E-013	1.50E-012	3.20E-012	4.93E-012	6.20E-012
43	29	6.15E-015	2.06E-013	1.12E-012	2.61E-012	4.15E-012	5.17E-012
43	28	0.00E+000	1.19E-013	7.11E-013	1.74E-012	2.84E-012	3.66E-012
43	27	0.00E+000	6.82E-014	5.13E-013	1.41E-012	2.47E-012	3.22E-012
43	26	0.00E+000	3.51E-014	3.14E-013	9.11E-013	1.62E-012	2.16E-012
43	25	0.00E+000	2.30E-014	2.43E-013	7.90E-013	1.51E-012	2.02E-012
43	24	0.00E+000	1.27E-014	1.41E-013	4.65E-013	8.74E-013	1.18E-012
43	23	0.00E+000	1.19E-014	1.18E-013	4.08E-013	8.03E-013	1.03E-012
42	41	1.43E-011	4.03E-011	6.27E-011	8.16E-011	9.68E-011	1.07E-010
42	40	1.99E-011	4.98E-011	8.06E-011	1.08E-010	1.31E-010	1.47E-010
42	39	7.15E-012	2.40E-011	4.08E-011	5.54E-011	6.68E-011	7.38E-011
42	38	4.94E-012	1.23E-011	2.16E-011	3.20E-011	4.19E-011	4.93E-011
42	37	3.14E-012	1.22E-011	2.32E-011	3.41E-011	4.29E-011	4.87E-011
42	36	1.31E-012	5.14E-012	9.87E-012	1.49E-011	2.02E-011	2.43E-011
42	35	9.32E-013	5.13E-012	1.11E-011	1.83E-011	2.47E-011	2.91E-011
42	34	4.75E-013	2.72E-012	6.26E-012	9.84E-012	1.32E-011	1.57E-011
42	33	2.54E-013	2.09E-012	5.54E-012	9.56E-012	1.36E-011	1.66E-011
42	32	1.33E-013	1.24E-012	3.78E-012	6.62E-012	9.17E-012	1.09E-011
42	31	6.78E-014	8.59E-013	2.87E-012	5.43E-012	8.04E-012	1.00E-011
42	30	3.40E-014	5.36E-013	2.17E-012	4.39E-012	6.46E-012	7.78E-012
42	29	1.60E-014	3.47E-013	1.52E-012	3.22E-012	4.95E-012	6.21E-012
42	28	6.34E-015	2.10E-013	1.13E-012	2.63E-012	4.16E-012	5.17E-012
42	27	0.00E+000	1.21E-013	7.18E-013	1.74E-012	2.84E-012	3.66E-012
42	26	0.00E+000	6.94E-014	5.18E-013	1.42E-012	2.48E-012	3.22E-012
42	25	0.00E+000	3.57E-014	3.16E-013	9.14E-013	1.62E-012	2.16E-012
42	24	0.00E+000	2.34E-014	2.45E-013	7.92E-013	1.51E-012	2.02E-012
42	23	0.00E+000	1.29E-014	1.42E-013	4.65E-013	8.72E-013	1.17E-012
42	22	0.00E+000	1.20E-014	1.19E-013	4.08E-013	8.01E-013	1.03E-012
41	40	1.48E-011	4.13E-011	6.37E-011	8.25E-011	9.76E-011	1.08E-010
41	39	2.06E-011	5.10E-011	8.19E-011	1.09E-010	1.32E-010	1.48E-010
41	38	7.41E-012	2.45E-011	4.15E-011	5.60E-011	6.72E-011	7.42E-011
41	37	5.11E-012	1.26E-011	2.19E-011	3.23E-011	4.22E-011	4.95E-011
41	36	3.25E-012	1.25E-011	2.36E-011	3.44E-011	4.32E-011	4.89E-011
41	35	1.36E-012	5.25E-012	1.00E-011	1.51E-011	2.03E-011	2.44E-011
