"Upper Level"	"Lower Level"	"Photon Frequency"	"Einstein Rate"
2	1	115271200000	7.46E-008
3	2	230538000000	7.16E-007
4	3	345795990000	2.59E-006
5	4	461040760000	6.37E-006
6	5	576267900000	1.27E-005
7	6	691473020000	2.23E-005
8	7	806651710000	3.58E-005
9	8	921799550000	5.39E-005
10	9	1036912200000	7.72E-005
11	10	1151985100000	1.06E-004
12	11	1267014000000	1.42E-004
13	12	1381994400000	1.85E-004
14	13	1496922000000	2.36E-004
15	14	1611792300000	2.95E-004
16	15	1726600900000	3.64E-004
17	16	1841343400000	4.42E-004
18	17	1956015500000	5.31E-004
19	18	2070612600000	6.31E-004
20	19	2185130500000	7.43E-004
21	20	2299564600000	8.67E-004
22	21	2413910600000	1.00E-003
23	22	2528164100000	1.15E-003
24	23	2642320700000	1.32E-003
25	24	2756376000000	1.50E-003
26	25	2870325500000	1.69E-003
27	26	2984164900000	1.91E-003
28	27	3097889700000	2.13E-003
29	28	3211495600000	2.38E-003
30	29	3324978100000	2.64E-003
31	30	3438332900000	2.92E-003
32	31	3551555500000	3.22E-003
33	32	3664641500000	3.54E-003
34	33	3777586500000	3.88E-003
35	34	3890386200000	4.24E-003
36	35	4003036100000	4.62E-003
37	36	4115531700000	5.02E-003
38	37	4227868800000	5.45E-003
39	38	4340042900000	5.90E-003
40	39	4452049500000	6.37E-003
41	40	4563884300000	6.86E-003
42	41	4675542900000	7.38E-003
43	42	4787020900000	7.92E-003
44	43	4898313900000	8.49E-003
45	44	5009417400000	9.08E-003
46	45	5120327000000	9.70E-003
47	46	5231038400000	1.03E-002
48	47	5341547200000	1.10E-002
49	48	5451848800000	1.17E-002
50	49	5561939000000	1.24E-002
